objectid,dispatch_date,location_block,dc_key
36297682,NA,800 BLOCK LEMON HILL,202509062283
36297685,NA,200 BLOCK W RITTENHOUSE,202514067755
36297693,NA,300 BLOCK MARTHA ST,202524087954
36297694,NA,4900 BLOCK STENETON AV,202535090617
36297696,NA,3700 BLOCK W STERNER ST,202539001193
36297697,NA,KELLY MIDVALE AV,202539008438
36300139,NA,2500 BLOCK CHADWICK ST,202522032072
36300196,NA,5900 BLOCK N LAMBERT ST,202535091437
36300439,NA,3300 BLOCK RIDGE AV,202522080291
36300976,NA,0 BLOCK N FRAZIER ST,202519066271
36302009,NA,1100 BLOCK W ROCKLAND ST,202535079935
36304276,NA,0 BLOCK RITNER ST,202503009225
36304336,NA,800 BLOCK LEMON HILL DR,202509062283
